x,y,z
0.075,-0.05,0
0.075,-0.05,-0.05
0.06,-0.05,-0.05
0.05,-0.06,-0.05
0.05,-0.08,-0.05
0.06,-0.09,-0.05
0.08,-0.09,-0.05
0.08,-0.07,-0.05
0.065,-0.07,-0.05
0.065,-0.07,0
0.09,-0.08,0
0.09,-0.08,-0.05
0.11,-0.08,-0.05
0.11,-0.075,-0.05
0.105,-0.07,-0.05
0.095,-0.07,-0.05
0.09,-0.075,-0.05
0.09,-0.085,-0.05
0.095,-0.09,-0.05
0.105,-0.09,-0.05
0.11,-0.085,-0.05
0.11,-0.085,0
0.12,-0.07,0
0.12,-0.07,-0.05
0.12,-0.09,-0.05
0.12,-0.08,-0.05
0.13,-0.07,-0.05
0.16,-0.075,0
0.16,-0.075,-0.05
0.155,-0.07,-0.05
0.145,-0.07,-0.05
0.14,-0.075,-0.05
0.14,-0.085,-0.05
0.145,-0.09,-0.05
0.155,-0.09,-0.05
0.16,-0.085,-0.05
0.16,-0.065,-0.05
0.16,-0.095,-0.05
0.05,-0.1,0
0.05,-0.1,-0.05
0.05,-0.14,-0.05
0.07,-0.14,-0.05
0.08,-0.12,0
0.08,-0.12,-0.05
0.08,-0.135,-0.05
0.085,-0.14,-0.05
0.095,-0.14,-0.05
0.1,-0.135,-0.05
0.1,-0.12,-0.05
0.11,-0.12,0
0.11,-0.12,-0.05
0.11,-0.14,-0.05
0.14,-0.125,0
0.14,-0.125,-0.05
0.135,-0.12,-0.05
0.125,-0.12,-0.05
0.12,-0.125,-0.05
0.125,-0.13,-0.05
0.135,-0.13,-0.05
0.14,-0.135,-0.05
0.135,-0.14,-0.05
0.125,-0.14,-0.05
0.12,-0.135,-0.05
0.05,-0.15,0
0.05,-0.15,-0.05
0.07,-0.15,-0.05
0.08,-0.16,-0.05
0.08,-0.18,-0.05
0.07,-0.19,-0.05
0.05,-0.19,-0.05
0.05,-0.15,-0.05
0.11,-0.175,0
0.11,-0.175,-0.05
0.105,-0.17,-0.05
0.095,-0.17,-0.05
0.09,-0.175,-0.05
0.09,-0.185,-0.05
0.095,-0.19,-0.05
0.105,-0.19,-0.05
0.11,-0.185,-0.05
0.11,-0.17,-0.05
0.11,-0.19,-0.05
0.12,-0.17,0
0.12,-0.17,-0.05
0.12,-0.19,-0.05
0.12,-0.175,-0.05
0.125,-0.17,-0.05
0.135,-0.17,-0.05
0.14,-0.175,-0.05
0.14,-0.19,-0.05
0.15,-0.17,0
0.15,-0.17,-0.05
0.15,-0.19,-0.05
0.05,-0.24,0
0.05,-0.24,-0.05
0.05,-0.2,-0.05
0.075,-0.2,-0.05
0.08,-0.205,-0.05
0.08,-0.215,-0.05
0.075,-0.22,-0.05
0.05,-0.22,-0.05
0.07,-0.22,-0.05
0.08,-0.24,-0.05
0.11,-0.225,0
0.11,-0.225,-0.05
0.105,-0.22,-0.05
0.095,-0.22,-0.05
0.09,-0.225,-0.05
0.09,-0.235,-0.05
0.095,-0.24,-0.05
0.105,-0.24,-0.05
0.11,-0.235,-0.05
0.11,-0.22,-0.05
0.11,-0.24,-0.05
0.12,-0.22,0
0.12,-0.22,-0.05
0.12,-0.235,-0.05
0.125,-0.24,-0.05
0.135,-0.24,-0.05
0.14,-0.235,-0.05
0.14,-0.22,-0.05
0.15,-0.2,0
0.15,-0.2,-0.05
0.15,-0.24,-0.05
