t_s,des_x,des_y,des_z,act_x,act_y,act_z,err_x,err_y,err_z
0.000000000000000000e+00,3.675486123264268268e-01,-1.159547017460776930e-02,3.058868077805763086e-01,3.478132564772232205e-01,9.419843565902603433e-04,3.064062977121941866e-01,1.973535584920360630e-02,-1.253745453119802997e-02,-5.194899316178780424e-04
1.106262207031250000e-04,3.678181708485009915e-01,-1.160263647871321441e-02,3.058868077805763086e-01,3.478132564772232205e-01,9.419843565902603433e-04,3.064062977121941866e-01,2.000491437127777106e-02,-1.254462083530347508e-02,-5.194899316178780424e-04
1.852512359619140625e-04,3.680856067978366397e-01,-1.160504923637961303e-02,3.058868077805763086e-01,3.478132564772232205e-01,9.419843565902603433e-04,3.064062977121941866e-01,2.027235032061341924e-02,-1.254703359296987369e-02,-5.194899316178780424e-04
2.541542053222656250e-04,3.683527171038193937e-01,-1.160270026029351642e-02,3.058868077805763086e-01,3.478132564772232205e-01,9.419843565902603433e-04,3.064062977121941866e-01,2.053946062659617322e-02,-1.254468461688377709e-02,-5.194899316178780424e-04
3.201961517333984375e-04,3.686168786025091348e-01,-1.159561033026249022e-02,3.058868077805763086e-01,3.478132564772232205e-01,9.419843565902603433e-04,3.064062977121941866e-01,2.080362212528591437e-02,-1.253759468685275089e-02,-5.194899316178780424e-04
6.248950958251953125e-04,3.688784518533935186e-01,-1.158382905640220964e-02,3.058868077805763086e-01,3.478132564772232205e-01,9.419843565902603433e-04,3.064062977121941866e-01,2.106519537617029814e-02,-1.252581341299247031e-02,-5.194899316178780424e-04
7.026195526123046875e-04,3.691389049807429767e-01,-1.156730029777414473e-02,3.058868077805763086e-01,3.478132564772232205e-01,9.419843565902603433e-04,3.064062977121941866e-01,2.132564850351975627e-02,-1.250928465436440540e-02,-5.194899316178780424e-04
1.143932342529296875e-03,3.693981485399748799e-01,-1.154600143287794201e-02,3.058868077805763086e-01,3.478132564772232205e-01,9.419843565902603433e-04,3.064062977121941866e-01,2.158489206275165939e-02,-1.248798578946820267e-02,-5.194899316178780424e-04
1.212120056152343750e-03,3.696576977708502798e-01,-1.151973797404298033e-02,3.058868077805763086e-01,3.478132564772232205e-01,9.419843565902603433e-04,3.064062977121941866e-01,2.184444129362705933e-02,-1.246172233063324100e-02,-5.194899316178780424e-04
1.278877258300781250e-03,3.699098543147721352e-01,-1.148939587866400908e-02,3.058868077805763086e-01,3.478132564772232205e-01,9.419843565902603433e-04,3.064062977121941866e-01,2.209659783754891471e-02,-1.243138023525426974e-02,-5.194899316178780424e-04
9.455442428588867188e-03,3.701637361239843993e-01,-1.145394469825250158e-02,3.058868077805763086e-01,3.478132564772232205e-01,9.419843565902603433e-04,3.064062977121941866e-01,2.235047964676117882e-02,-1.239592905484276225e-02,-5.194899316178780424e-04
3.050398826599121094e-02,3.704256450089787323e-01,-1.141211436779432029e-02,3.058868077805763086e-01,3.478132564772232205e-01,9.419843565902603433e-04,3.064062977121941866e-01,2.261238853175551178e-02,-1.235409872438458095e-02,-5.194899316178780424e-04
4.985642433166503906e-02,3.706667711344606708e-01,-1.136878638607143055e-02,3.058868077805763086e-01,3.486929985334848991e-01,5.349983651184962719e-04,3.063907370550005282e-01,2.197377260097577167e-02,-1.190378475118992682e-02,-5.039292744242196420e-04
6.990551948547363281e-02,3.709142154119189350e-01,-1.131942419735868302e-02,3.058868077805763086e-01,3.489556272531484926e-01,4.135011499967746959e-04,3.063860917439723552e-01,2.195858815877044234e-02,-1.173292534735545858e-02,-4.992839633960466372e-04
8.965110778808593750e-02,3.711611503603189366e-01,-1.126511628676905505e-02,3.058868077805763086e-01,3.489556272531484926e-01,4.135011499967746959e-04,3.063860917439723552e-01,2.220552310717044397e-02,-1.167861743676583061e-02,-4.992839633960466372e-04
1.097137928009033203e-01,3.714060157802287487e-01,-1.120618145312924849e-02,3.058868077805763086e-01,3.489556272531484926e-01,4.135011499967746959e-04,3.063860917439723552e-01,2.245038852708025612e-02,-1.161968260312602405e-02,-4.992839633960466372e-04
1.295809745788574219e-01,3.716487199582569900e-01,-1.114266845387881441e-02,3.058868077805763086e-01,3.489556272531484926e-01,4.135011499967746959e-04,3.063860917439723552e-01,2.269309270510849741e-02,-1.155616960387558997e-02,-4.992839633960466372e-04
1.494555473327636719e-01,3.718892490869128431e-01,-1.107461139094066682e-02,3.058868077805763086e-01,3.501020758852776971e-01,-1.449503510571944088e-04,3.063991027913452458e-01,2.178717320163514604e-02,-1.092966103988347176e-02,-5.122950107689372423e-04
1.697549819946289062e-01,3.721296551111621387e-01,-1.100139450703747565e-02,3.058868077805763086e-01,3.504803187970724765e-01,-3.291978750500515558e-04,3.064033954707605090e-01,2.164933631408966219e-02,-1.067219663198742431e-02,-5.165876901842003655e-04
1.903340816497802734e-01,3.723686495480202363e-01,-1.092334892219593359e-02,3.058868077805763086e-01,3.504803187970724765e-01,-3.291978750500515558e-04,3.064033954707605090e-01,2.188833075094775982e-02,-1.059415104714588225e-02,-5.165876901842003655e-04
2.097063064575195312e-01,3.726040215170844383e-01,-1.084125021794751786e-02,3.058868077805763086e-01,3.504803187970724765e-01,-3.291978750500515558e-04,3.064033954707605090e-01,2.212370272001196181e-02,-1.051205234289746653e-02,-5.165876901842003655e-04
2.297725677490234375e-01,3.728386206868923858e-01,-1.075413694186274846e-02,3.058868077805763086e-01,3.504803187970724765e-01,-3.291978750500515558e-04,3.064033954707605090e-01,2.235830188981990929e-02,-1.042493906681269712e-02,-5.165876901842003655e-04
2.496392726898193359e-01,3.730694701622294107e-01,-1.066315254571873969e-02,3.058868077805763086e-01,3.513132157459666893e-01,-6.511448793058308235e-04,3.064065148025635898e-01,2.175625441626272139e-02,-1.001200766641290908e-02,-5.197070219872812480e-04
2.698221206665039062e-01,3.732992235199786291e-01,-1.056730043772649910e-02,3.058868077805763086e-01,3.515735220770344061e-01,-7.517633814954848524e-04,3.064074896912555301e-01,2.172570144294422301e-02,-9.815537056231013815e-03,-5.206819106792215379e-04
2.898919582366943359e-01,3.735277955862364996e-01,-1.046657645309654813e-02,3.058868077805763086e-01,3.515735220770344061e-01,-7.517633814954848524e-04,3.064074896912555301e-01,2.195427350920209353e-02,-9.714813071601062847e-03,-5.206819106792215379e-04
3.095946311950683594e-01,3.737530388364515566e-01,-1.036196553498620887e-02,3.058868077805763086e-01,3.515735220770344061e-01,-7.517633814954848524e-04,3.064074896912555301e-01,2.217951675941715051e-02,-9.610202153490723584e-03,-5.206819106792215379e-04
3.296816349029541016e-01,3.739780665903638113e-01,-1.025202537375783512e-02,3.058868077805763086e-01,3.515735220770344061e-01,-7.517633814954848524e-04,3.064074896912555301e-01,2.240454451332940522e-02,-9.500261992262349839e-03,-5.206819106792215379e-04
3.523864746093750000e-01,3.742057696163138547e-01,-1.013512454264169776e-02,3.058868077805763086e-01,3.529453377931692781e-01,-1.280972789202397891e-03,3.063649158658640625e-01,2.126043182314457658e-02,-8.854151753439299874e-03,-4.781080852877539478e-04
3.695874214172363281e-01,3.744209746206157985e-01,-1.001928937044913384e-02,3.058868077805763086e-01,3.530933774253842139e-01,-1.338082476137863715e-03,3.063603215071766805e-01,2.132759719523158459e-02,-8.681206894311269476e-03,-4.735137266003719425e-04
3.896906375885009766e-01,3.746399657345898526e-01,-9.895951234245057432e-03,3.058868077805763086e-01,3.530933774253842139e-01,-1.338082476137863715e-03,3.063603215071766805e-01,2.154658830920563872e-02,-8.557868758107193066e-03,-4.735137266003719425e-04
4.094624519348144531e-01,3.748560523290412894e-01,-9.768716212174715502e-03,3.058868077805763086e-01,3.530933774253842139e-01,-1.338082476137863715e-03,3.063603215071766805e-01,2.176267490365707546e-02,-8.430633736036851136e-03,-4.735137266003719425e-04
4.296052455902099609e-01,3.750719987874638894e-01,-9.635939081779461290e-03,3.058868077805763086e-01,3.530933774253842139e-01,-1.338082476137863715e-03,3.063603215071766805e-01,2.197862136207967554e-02,-8.297856605641596925e-03,-4.735137266003719425e-04
4.496438503265380859e-01,3.752841802333315435e-01,-9.499865096088359190e-03,3.058868077805763086e-01,3.539033156213035047e-01,-1.585319638268464087e-03,3.064158037708146765e-01,2.138086461202803878e-02,-7.914545457819895102e-03,-5.289959902383678525e-04
4.696810245513916016e-01,3.754962244826408058e-01,-9.358182756544184550e-03,3.058868077805763086e-01,3.541566885785802921e-01,-1.662662837087039089e-03,3.064331602867627069e-01,2.133953590406051370e-02,-7.695519919457145461e-03,-5.463525061863983012e-04
4.896039962768554688e-01,3.757044764457217467e-01,-9.213351456777284232e-03,3.058868077805763086e-01,3.541566885785802921e-01,-1.662662837087039089e-03,3.064331602867627069e-01,2.154778786714145467e-02,-7.550688619690245143e-03,-5.463525061863983012e-04
5.104725360870361328e-01,3.759109648066061848e-01,-9.064043944593012242e-03,3.058868077805763086e-01,3.541566885785802921e-01,-1.662662837087039089e-03,3.064331602867627069e-01,2.175427622802589278e-02,-7.401381107505973153e-03,-5.463525061863983012e-04
5.298123359680175781e-01,3.761170786479522965e-01,-8.909197226748915427e-03,3.058868077805763086e-01,3.541566885785802921e-01,-1.662662837087039089e-03,3.064331602867627069e-01,2.196039006937200444e-02,-7.246534389661876338e-03,-5.463525061863983012e-04
5.497117042541503906e-01,3.763195458686451333e-01,-8.751289884716621781e-03,3.058868077805763086e-01,3.552796794369693645e-01,-1.981221416344292833e-03,3.064484547826729632e-01,2.103986643167576887e-02,-6.770068468372329382e-03,-5.616470020966546350e-04
5.695302486419677734e-01,3.765208320635316519e-01,-8.588453384504968896e-03,3.058868077805763086e-01,3.556244693253114986e-01,-2.079027891038218688e-03,3.064531506245827819e-01,2.089636273822015333e-02,-6.509425493466750208e-03,-5.663428440064732783e-04
5.897817611694335938e-01,3.767202098674304889e-01,-8.421255003294964014e-03,3.058868077805763086e-01,3.556244693253114986e-01,-2.079027891038218688e-03,3.064531506245827819e-01,2.109574054211899030e-02,-6.342227112256745326e-03,-5.663428440064732783e-04
6.096062660217285156e-01,3.769162216160885093e-01,-8.250993106329221338e-03,3.058868077805763086e-01,3.556244693253114986e-01,-2.079027891038218688e-03,3.064531506245827819e-01,2.129175229077701070e-02,-6.171965215291002650e-03,-5.663428440064732783e-04
6.294641494750976562e-01,3.771111347484188414e-01,-8.075737925193095246e-03,3.058868077805763086e-01,3.556244693253114986e-01,-2.079027891038218688e-03,3.064531506245827819e-01,2.148666542310734284e-02,-5.996710034154876558e-03,-5.663428440064732783e-04
6.495962142944335938e-01,3.773039364727887035e-01,-7.896382553715892982e-03,3.058868077805763086e-01,3.563873850088842277e-01,-2.224510481463199893e-03,3.064918938793619874e-01,2.091655146390447584e-02,-5.671872072252693089e-03,-6.050860987856787609e-04
6.704654693603515625e-01,3.775040243338156354e-01,-7.703757856296733486e-03,3.058868077805763086e-01,3.566377350516950484e-01,-2.272250452636116920e-03,3.065046074409015775e-01,2.086628928212058698e-02,-5.431507403660616566e-03,-6.177996603252688956e-04
6.899359226226806641e-01,3.776847546092608199e-01,-7.523920731457980904e-03,3.058868077805763086e-01,3.566377350516950484e-01,-2.272250452636116920e-03,3.065046074409015775e-01,2.104701955756577147e-02,-5.251670278821863984e-03,-6.177996603252688956e-04
7.097799777984619141e-01,3.778715311201176208e-01,-7.332063221091422722e-03,3.058868077805763086e-01,3.566377350516950484e-01,-2.272250452636116920e-03,3.065046074409015775e-01,2.123379606842257239e-02,-5.059812768455305802e-03,-6.177996603252688956e-04
7.295298576354980469e-01,3.780550681374031385e-01,-7.137414094625951083e-03,3.058868077805763086e-01,3.566377350516950484e-01,-2.272250452636116920e-03,3.065046074409015775e-01,2.141733308570809013e-02,-4.865163641989834163e-03,-6.177996603252688956e-04
7.496395111083984375e-01,3.782392588460003480e-01,-6.935788911525055112e-03,3.058868077805763086e-01,3.576564265846933210e-01,-2.458063511602098707e-03,3.065449251661963581e-01,2.058283226130702692e-02,-4.477725399922955971e-03,-6.581173856200495109e-04
7.699117660522460938e-01,3.784187571890822444e-01,-6.733058977803439010e-03,3.058868077805763086e-01,3.579971947746360406e-01,-2.520220874965271342e-03,3.065584120734948792e-01,2.042156241444620379e-02,-4.212838102838167668e-03,-6.716042929185706001e-04
7.897398471832275391e-01,3.785975689525207244e-01,-6.524787658095453774e-03,3.058868077805763086e-01,3.579971947746360406e-01,-2.520220874965271342e-03,3.065584120734948792e-01,2.060037417788468384e-02,-4.004566783130182432e-03,-6.716042929185706001e-04
8.095839023590087891e-01,3.787737418077282703e-01,-6.313229123253081415e-03,3.058868077805763086e-01,3.579971947746360406e-01,-2.520220874965271342e-03,3.065584120734948792e-01,2.077654703309222972e-02,-3.793008248287810073e-03,-6.716042929185706001e-04
8.304364681243896484e-01,3.789561818746680077e-01,-6.087272307764349938e-03,3.058868077805763086e-01,3.579971947746360406e-01,-2.520220874965271342e-03,3.065584120734948792e-01,2.095898710003196719e-02,-3.567051432799078596e-03,-6.716042929185706001e-04
8.494672775268554688e-01,3.791201402327203374e-01,-5.878044735609020549e-03,3.058868077805763086e-01,3.587600165528489482e-01,-2.593887881168541361e-03,3.065284844199352987e-01,2.036012367987138916e-02,-3.284156854440479188e-03,-6.416766393589901085e-04
8.696806430816650391e-01,3.792906443330149036e-01,-5.654072161743947667e-03,3.058868077805763086e-01,3.590051417399117706e-01,-2.617560040500749134e-03,3.065188674662946422e-01,2.028550259310313297e-02,-3.036512121243198532e-03,-6.320596857183335970e-04
8.896150588989257812e-01,3.794590261465423664e-01,-5.426278299074778488e-03,3.058868077805763086e-01,3.590051417399117706e-01,-2.617560040500749134e-03,3.065188674662946422e-01,2.045388440663059582e-02,-2.808718258574029354e-03,-6.320596857183335970e-04
9.097313880920410156e-01,3.796255035199893046e-01,-5.194381395026426151e-03,3.058868077805763086e-01,3.590051417399117706e-01,-2.617560040500749134e-03,3.065188674662946422e-01,2.062036178007753406e-02,-2.576821354525677017e-03,-6.320596857183335970e-04
9.295544624328613281e-01,3.797880146605654983e-01,-4.961379257760713951e-03,3.058868077805763086e-01,3.590051417399117706e-01,-2.617560040500749134e-03,3.065188674662946422e-01,2.078287292065372771e-02,-2.343819217259964817e-03,-6.320596857183335970e-04
9.496669769287109375e-01,3.799497784797984945e-01,-4.722712211074304306e-03,3.058868077805763086e-01,3.599147917943593677e-01,-2.667144856494731240e-03,3.065767704211506128e-01,2.003498668543912675e-02,-2.055567354579573066e-03,-6.899626405743042312e-04
9.697804450988769531e-01,3.801095623601890017e-01,-4.480129687623332635e-03,3.058868077805763086e-01,3.601954531739776089e-01,-2.682443643975638073e-03,3.065946356684667862e-01,1.991410918621139281e-02,-1.797686043647694562e-03,-7.078278878904775695e-04
9.907965660095214844e-01,3.802758115881754719e-01,-4.220247437148074571e-03,3.058868077805763086e-01,3.601954531739776089e-01,-2.682443643975638073e-03,3.065946356684667862e-01,2.008035841419786305e-02,-1.537803793172436498e-03,-7.078278878904775695e-04
1.009710073471069336e+00,3.804224592366672875e-01,-3.984432433739658330e-03,3.058868077805763086e-01,3.601954531739776089e-01,-2.682443643975638073e-03,3.065946356684667862e-01,2.022700606268967860e-02,-1.301988789764020257e-03,-7.078278878904775695e-04
