t_s,des_x,des_y,des_z,act_x,act_y,act_z,err_x,err_y,err_z
0.000000000000000000e+00,3.058091434318693236e-01,-6.548949521081934289e-02,4.106221313700086917e-01,3.122667378001205418e-01,-8.655931788713944197e-02,4.096108406530379886e-01,-6.457594368251218242e-03,2.106982267632009909e-02,1.011290716970703052e-03
1.985883712768554688e-02,3.059149701730380366e-01,-6.517394759430412965e-02,4.106221313700086917e-01,3.122667378001205418e-01,-8.655931788713944197e-02,4.096108406530379886e-01,-6.351767627082505197e-03,2.138537029283531232e-02,1.011290716970703052e-03
3.994393348693847656e-02,3.060236489225879875e-01,-6.485924466421749690e-02,4.106221313700086917e-01,3.122667378001205418e-01,-8.655931788713944197e-02,4.096108406530379886e-01,-6.243088877532554370e-03,2.170007322292194507e-02,1.011290716970703052e-03
5.983424186706542969e-02,3.061345146335745504e-01,-6.454741464087765390e-02,4.106221313700086917e-01,3.122667378001205418e-01,-8.655931788713944197e-02,4.096108406530379886e-01,-6.132223166545991422e-03,2.201190324626178807e-02,1.011290716970703052e-03
7.994961738586425781e-02,3.062476729695376987e-01,-6.423819085642845650e-02,4.106221313700086917e-01,3.121625087742383453e-01,-8.632524483779896451e-02,4.096066120106267028e-01,-5.914835804700646626e-03,2.208705398137050802e-02,1.015519359381988895e-03
9.988212585449218750e-02,3.063631547793880805e-01,-6.393153659568175107e-02,4.106221313700086917e-01,3.118234174338593290e-01,-8.556372813575126302e-02,4.095928548445102457e-01,-5.460262654471248478e-03,2.163219154006951195e-02,1.029276525498445949e-03
1.199164390563964844e-01,3.064806523651787407e-01,-6.362828582586124715e-02,4.106221313700086917e-01,3.118234174338593290e-01,-8.556372813575126302e-02,4.095928548445102457e-01,-5.342765068680588314e-03,2.193544230989001587e-02,1.029276525498445949e-03
1.397440433502197266e-01,3.066002081224592501e-01,-6.332831901785551665e-02,4.106221313700086917e-01,3.118234174338593290e-01,-8.556372813575126302e-02,4.095928548445102457e-01,-5.223209311400078825e-03,2.223540911789574637e-02,1.029276525498445949e-03
1.599085330963134766e-01,3.067227619207458789e-01,-6.302937340231602736e-02,4.106221313700086917e-01,3.118234174338593290e-01,-8.556372813575126302e-02,4.095928548445102457e-01,-5.100655513113450112e-03,2.253435473343523565e-02,1.029276525498445949e-03
1.798827648162841797e-01,3.068467868869023674e-01,-6.273520835643869864e-02,4.106221313700086917e-01,3.116725503136099640e-01,-8.527229823515547480e-02,4.096125447198314395e-01,-4.825763426707596615e-03,2.253708987871677616e-02,1.009586650177252132e-03
1.998693943023681641e-01,3.069737813802179138e-01,-6.244230033101375726e-02,4.106221313700086917e-01,3.110909081520616404e-01,-8.414874051732931792e-02,4.096884556381514275e-01,-4.117126771843726551e-03,2.170644018631556066e-02,9.336757318572641573e-04
2.198338508605957031e-01,3.071025841771868881e-01,-6.215339287658722123e-02,4.106221313700086917e-01,3.110909081520616404e-01,-8.414874051732931792e-02,4.096884556381514275e-01,-3.988323974874752320e-03,2.199534764074209670e-02,9.336757318572641573e-04
2.398927211761474609e-01,3.072334557083499229e-01,-6.186788171774770806e-02,4.106221313700086917e-01,3.110909081520616404e-01,-8.414874051732931792e-02,4.096884556381514275e-01,-3.857452443711717471e-03,2.228085879958160986e-02,9.336757318572641573e-04
2.605824470520019531e-01,3.073714548409328118e-01,-6.157519152219027847e-02,4.106221313700086917e-01,3.110909081520616404e-01,-8.414874051732931792e-02,4.096884556381514275e-01,-3.719453311128828599e-03,2.257354899513903945e-02,9.336757318572641573e-04
2.797441482543945312e-01,3.075020486093578143e-01,-6.130576855863798663e-02,4.106221313700086917e-01,3.110316046508805887e-01,-8.391498721579992992e-02,4.096872223578574279e-01,-3.529556041522774468e-03,2.260921865716194329e-02,9.349090121512637630e-04
3.007078170776367188e-01,3.076393794772808166e-01,-6.103003152354476851e-02,4.106221313700086917e-01,3.108182263115637500e-01,-8.307392572201191538e-02,4.096827849250617160e-01,-3.178846834282933465e-03,2.204389419846714687e-02,9.393464449469757227e-04
3.198821544647216797e-01,3.077801017241835191e-01,-6.075520958804724037e-02,4.106221313700086917e-01,3.108182263115637500e-01,-8.307392572201191538e-02,4.096827849250617160e-01,-3.038124587380230945e-03,2.231871613396467502e-02,9.393464449469757227e-04
3.398702144622802734e-01,3.079220876106967264e-01,-6.048551104945200374e-02,4.106221313700086917e-01,3.108182263115637500e-01,-8.307392572201191538e-02,4.096827849250617160e-01,-2.896138700867023630e-03,2.258841467255991164e-02,9.393464449469757227e-04
3.599405288696289062e-01,3.080672021965419893e-01,-6.021742301811487674e-02,4.106221313700086917e-01,3.108182263115637500e-01,-8.307392572201191538e-02,4.096827849250617160e-01,-2.751024115021760696e-03,2.285650270389703864e-02,9.393464449469757227e-04
3.798909187316894531e-01,3.082127794012085031e-01,-5.995584275664955776e-02,4.106221313700086917e-01,3.108648912472164461e-01,-8.278888435796857848e-02,4.096881787643190109e-01,-2.652111846007942919e-03,2.283304160131902072e-02,9.339526056896807482e-04
3.998780250549316406e-01,3.083606521082035146e-01,-5.969738855674308620e-02,4.106221313700086917e-01,3.110543633125085194e-01,-8.163154051545482015e-02,4.097100791880449178e-01,-2.693711204305004880e-03,2.193415195871173395e-02,9.120521819637739114e-04
4.200344085693359375e-01,3.085115017483888722e-01,-5.944096889417445351e-02,4.106221313700086917e-01,3.110543633125085194e-01,-8.163154051545482015e-02,4.097100791880449178e-01,-2.542861564119647255e-03,2.219057162128036664e-02,9.120521819637739114e-04
4.399013519287109375e-01,3.086657322861873221e-01,-5.918607061872505071e-02,4.106221313700086917e-01,3.110543633125085194e-01,-8.163154051545482015e-02,4.097100791880449178e-01,-2.388631026321197393e-03,2.244546989672976944e-02,9.120521819637739114e-04
4.602072238922119141e-01,3.088209652084874524e-01,-5.893665720506172101e-02,4.106221313700086917e-01,3.110543633125085194e-01,-8.163154051545482015e-02,4.097100791880449178e-01,-2.233398104021067088e-03,2.269488331039309914e-02,9.120521819637739114e-04
4.799876213073730469e-01,3.089781273498243830e-01,-5.869117325233694921e-02,4.106221313700086917e-01,3.110615023992788775e-01,-8.139822230303489503e-02,4.097107742845353950e-01,-2.083375049454494476e-03,2.270704905069794582e-02,9.113570854732966353e-04
