t_s,des_x,des_y,des_z,act_x,act_y,act_z,err_x,err_y,err_z
0.000000000000000000e+00,3.067325149283337549e-01,-2.055199258141841498e-02,2.947162707357935396e-01,2.946983477268471652e-01,-8.264747402418823330e-03,2.952102869694041010e-01,1.203416720148658969e-02,-1.228724517899959165e-02,-4.940162336105613505e-04
2.069473266601562500e-04,3.070838193362642188e-01,-2.082616340047590067e-02,2.947162707357935396e-01,2.947238393658176414e-01,-8.281938184589558022e-03,2.952099145231268928e-01,1.235997997044657737e-02,-1.254422521588634265e-02,-4.936437873333532345e-04
3.485679626464843750e-04,3.074435959281213160e-01,-2.110422761268613071e-02,2.947162707357935396e-01,2.947412841049287802e-01,-8.293702383448333867e-03,2.952096596462965850e-01,1.270231182319253582e-02,-1.281052522923779684e-02,-4.933889105030453415e-04
4.801750183105468750e-04,3.077802328845903324e-01,-2.136186633782083746e-02,2.947162707357935396e-01,2.947574953776381235e-01,-8.304634770266590069e-03,2.952094227910603830e-01,1.302273750695220889e-02,-1.305723156755424740e-02,-4.931520552668433588e-04
7.448196411132812500e-04,3.081288221982309006e-01,-2.162601179049576661e-02,2.947162707357935396e-01,2.947900941325427571e-01,-8.326618374194605030e-03,2.952089465060745432e-01,1.333872806568814351e-02,-1.329939341630116158e-02,-4.926757702810036221e-04
8.292198181152343750e-04,3.084760307105209320e-01,-2.188638788347968545e-02,2.947162707357935396e-01,2.948004904922150726e-01,-8.333629361393269860e-03,2.952087946097817772e-01,1.367554021830585942e-02,-1.355275852208641559e-02,-4.925238739882376038e-04
9.076595306396484375e-04,3.088212002922977040e-01,-2.214248849480528539e-02,2.947162707357935396e-01,2.948101526456958221e-01,-8.340145222377338963e-03,2.952086534406282992e-01,1.401104764660188184e-02,-1.380234327242794642e-02,-4.923827048347595436e-04
9.832382202148437500e-04,3.091658303841527400e-01,-2.239540392615420664e-02,2.947162707357935396e-01,2.948194623802046221e-01,-8.346423422778401213e-03,2.952085174205016926e-01,1.434636800394811784e-02,-1.404898050337580542e-02,-4.922466847081530261e-04
1.057147979736328125e-03,3.095109565838494725e-01,-2.264584105351291968e-02,2.947162707357935396e-01,2.948285665369798081e-01,-8.352562987839378880e-03,2.952083844039741223e-01,1.468239004686966442e-02,-1.429327806567354080e-02,-4.921136681805826640e-04
1.131296157836914062e-03,3.098521058895188918e-01,-2.289054363365243192e-02,2.947162707357935396e-01,2.948377000620026056e-01,-8.358722357948940307e-03,2.952082509583610070e-01,1.501440582751628616e-02,-1.453182127570349161e-02,-4.919802225674674290e-04
9.409189224243164062e-03,3.101925086600082482e-01,-2.313183441316073521e-02,2.947162707357935396e-01,2.949441893280244642e-01,-8.430535464113788485e-03,2.952066950940738788e-01,1.524831933198378398e-02,-1.470129894904694673e-02,-4.904243582803391455e-04
2.921748161315917969e-02,3.105337321240377868e-01,-2.337076929247393700e-02,2.947162707357935396e-01,2.949441893280244642e-01,-8.430535464113788485e-03,2.952066950940738788e-01,1.558954279601332260e-02,-1.494023382836014852e-02,-4.904243582803391455e-04
